"","coefficient"
"rna_median_CASP9",0
"rna_median_CAT",0
"rna_median_CAV1",0
"rna_median_CBFA2T3",0
"rna_median_CBFB",0
"rna_median_CBL",0
"rna_median_CBLB",0
"rna_median_CBLC",0
"rna_median_CBLL1",0
"rna_median_CBWD3",0
"rna_median_CBX5",0
"rna_median_CBX7",0
"rna_median_CBX8",0
"rna_median_CCAR1",0
"rna_median_CCDC136",0
"rna_median_CCDC154",0
"rna_median_CCDC28A",0
"rna_median_CCDC6",0
"rna_median_CCDC67",0
"rna_median_CCNB1",0
"rna_median_CCNB1IP1",0
"rna_median_CCNB2",0
"rna_median_CCNC",0
"rna_median_CCND1",0
"rna_median_CCND2",0
"rna_median_CCND3",0
"rna_median_CCNDBP1",0
"rna_median_CCNE1",0
"rna_median_CCNL1",0
"rna_median_CCR4",0
"rna_median_CCR7",0
"rna_median_CD209",0
"rna_median_CD24",0
"rna_median_CD274",0
"rna_median_CD28",0
"rna_median_CD4",0
"rna_median_CD44",0
"rna_median_CD70",0
"rna_median_CD74",0
"rna_median_CD79A",0
"rna_median_CD79B",0
"rna_median_CD82",0
"rna_median_CDC25A",0
"rna_median_CDC25C",0
"rna_median_CDC5L",0
"rna_median_CDC6",0
"rna_median_CDC73",0
"rna_median_CDCP1",0
"rna_median_CDH1",0
"rna_median_CDH10",0
"rna_median_CDH11",0
"rna_median_CDH13",0
"rna_median_CDH17",0
"rna_median_CDH4",0
"rna_median_CDH5",0
"rna_median_CDK1",0
"rna_median_CDK12",0
"rna_median_CDK14",0
"rna_median_CDK2",0
"rna_median_CDK2AP1",0
"rna_median_CDK4",0
"rna_median_CDK5R2",0
"rna_median_CDK6",0
"rna_median_CDK8",0
"rna_median_CDKN1A",0
"rna_median_CDKN1B",0
"rna_median_CDKN1C",0
"rna_median_CDKN2A",0
"rna_median_CDKN2B",0
"rna_median_CDKN2C",0
"rna_median_CDKN3",0
"rna_median_CDO1",0
"rna_median_CDON",0
"rna_median_CDX2",0
"rna_median_CEACAM1",0
"rna_median_CEACAM6",0
"rna_median_CEBPA",0
"rna_median_CEBPD",0
"rna_median_CENPW",0
"rna_median_CFLAR",0
"rna_median_CFTR",0
"rna_median_CHCHD7",0
"rna_median_CHD1",0
"rna_median_CHD1L",0
"rna_median_CHD2",0
"rna_median_CHD3",0
"rna_median_CHD4",0
"rna_median_CHD5",0
"rna_median_CHD8",0
"rna_median_CHEK1",0
"rna_median_CHEK2",0
"rna_median_CHFR",0
"rna_median_CHIC1",0
"rna_median_CHIC2",0
"rna_median_CHL1",0
"rna_median_CHST10",0
"rna_median_CHST11",0
"rna_median_CHUK",0
"rna_median_CIC",0
"rna_median_CIITA",0
"rna_median_CITED2",0
"rna_median_CIZ1",0
"rna_median_CKS1B",0
"rna_median_CLDN1",0
"rna_median_CLDN23",0
"rna_median_CLIP1",0
"rna_median_CLP1",0
"rna_median_CLTC",0
"rna_median_CLTCL1",0
"rna_median_CLU",0
"rna_median_CMTM3",0
"rna_median_CMTM5",0
"rna_median_CNBD1",0
"rna_median_CNBP",0
"rna_median_CNDP2",0
"rna_median_CNN1",0
"rna_median_CNOT3",0
"rna_median_CNR2",0
"rna_median_CNTN2",0
"rna_median_CNTNAP2",0
"rna_median_COL1A1",0
"rna_median_COL2A1",0
"rna_median_COL3A1",0
"rna_median_COL5A1",0
"rna_median_COPS2",0
"rna_median_COPS3",0
"rna_median_COPS5",0
"rna_median_COX6C",0
"rna_median_CPEB3",0
"rna_median_CPNE7",0
"rna_median_CREB1",0
"rna_median_CREB3L1",0
"rna_median_CREB3L2",0
"rna_median_CREB3L3",0
"rna_median_CREBBP",0
"rna_median_CREM",0
"rna_median_CRK",0
"rna_median_CRKL",0
"rna_median_CRLF2",0
"rna_median_CRNKL1",0
"rna_median_CRNN",0
"rna_median_CROT",0
"rna_median_CRTC1",0
"rna_median_CRTC3",0
"rna_median_CRYAB",0
"rna_median_CSDE1",0
"rna_median_CSF1",0
"rna_median_CSF1R",0
"rna_median_CSF2",0
"rna_median_CSF3",0
"rna_median_CSF3R",0
"rna_median_CSMD1",0
"rna_median_CSMD3",0
"rna_median_CSNK1A1",0
"rna_median_CSNK2A1",0
"rna_median_CSNK2A2",0
"rna_median_CSRNP1",0
"rna_median_CST5",0
"rna_median_CST6",0
"rna_median_CT45A1",0
"rna_median_CTBP2",0
"rna_median_CTCF",0
"rna_median_CTCFL",0
"rna_median_CTDSPL",0
"rna_median_CTGF",0
"rna_median_CTNNA2",0
"rna_median_CTNNA3",0
"rna_median_CTNNB1",0
"rna_median_CTNNBIP1",0
"rna_median_CTNND1",0
"rna_median_CTNND2",0
"rna_median_CTSZ",0
"rna_median_CTTN",0
"rna_median_CUL1",0
"rna_median_CUL2",0
"rna_median_CUL3",0
"rna_median_CUL4A",0
"rna_median_CUL5",0
"rna_median_CUL7",0
"rna_median_CUX1",0
"rna_median_CXCL1",0
"rna_median_CXCL10",0
"rna_median_CXCL12",0
"rna_median_CXCL14",0
"rna_median_CXCL2",0
"rna_median_CXCL3",0
"rna_median_CXCR2",0
"rna_median_CXCR4",0
"rna_median_CXXC4",0
"rna_median_CXXC5",0
"rna_median_CYB561D2",0
"rna_median_CYB5A",0
"rna_median_CYB5R2",0
"rna_median_CYGB",0
"rna_median_CYLD",0
"rna_median_CYP24A1",0
"rna_median_CYP2C8",0
"rna_median_CYSLTR2",0
"rna_median_DAB2",0
"rna_median_DAB2IP",0
"rna_median_DACH1",0
"rna_median_DACT1",0
"rna_median_DAPK1",0
"rna_median_DAPK2",0
"rna_median_DAPK3",0
"rna_median_DAXX",0
"rna_median_DAZAP1",0
"rna_median_DCAF12L2",0
"rna_median_DCC",0
"rna_median_DCD",0
"rna_median_DCDC2",0
"rna_median_DCLRE1A",0
"rna_median_DCN",0
"rna_median_DCTN1",0
"rna_median_DCUN1D1",0
"rna_median_DCUN1D3",0
"rna_median_DDB2",0
"rna_median_DDHD2",0
"rna_median_DDIT3",0
"rna_median_DDR2",0
"rna_median_DDX10",0
"rna_median_DDX3X",0
"rna_median_DDX5",0
"rna_median_DDX58",0
"rna_median_DDX6",0
"rna_median_DEFB1",0
"rna_median_DEK",0
"rna_median_DENND2D",0
"rna_median_DFFA",0
"rna_median_DFNA5",0
"rna_median_DGCR8",0
"rna_median_DHX9",0
"rna_median_DIABLO",0
"rna_median_DIAPH2",0
"rna_median_DICER1",0
"rna_median_DIDO1",0
"rna_median_DIRAS1",0
"rna_median_DIRAS3",0
"rna_median_DIS3",0
"rna_median_DKK1",0
"rna_median_DKK3",0
"rna_median_DLC1",0
"rna_median_DLEC1",0
"rna_median_DLEU1",0
"rna_median_DLEU2",0
"rna_median_DLG1",0
"rna_median_DLK1",0
"rna_median_DLX5",0
"rna_median_DMBT1",0
"rna_median_DMD",0
"rna_median_DMTF1",0
"rna_median_DNAJA3",0
"rna_median_DNAJB1",0
"rna_median_DNAJB4",0
"rna_median_DNAJC11",0
"rna_median_DND1",0
"rna_median_DNM2",0
"rna_median_DNMT1",0
"rna_median_DNMT3A",0
"rna_median_DNMT3B",0
"rna_median_DOK1",0
"rna_median_DOK2",0
"rna_median_DOK3",0
"rna_median_DPH1",0
"rna_median_DPP4",0
"rna_median_DPPA2",0
"rna_median_DPPA4",0
"rna_median_DSC3",0
"rna_median_DSG3",0
"rna_median_DSP",0
"rna_median_DUSP1",0
"rna_median_DUSP12",0
"rna_median_DUSP22",0
"rna_median_DUSP26",0
"rna_median_DUSP5",0
"rna_median_DUSP6",0
"rna_median_DUSP9",0
"rna_median_DUX4L1",0
"rna_median_E2F1",0
"rna_median_E2F2",0
"rna_median_E2F3",0
"rna_median_E2F5",0
"rna_median_EAF1",0
"rna_median_EAF2",0
"rna_median_EBF1",0
"rna_median_EBF3",0
"rna_median_ECHS1",0
"rna_median_ECT2",0
"rna_median_ECT2L",0
"rna_median_EDA2R",0
"rna_median_EDNRB",0
"rna_median_EED",0
"rna_median_EEF1A1",0
"rna_median_EEF1A2",0
"rna_median_EEF1D",0
"rna_median_EEF1E1",0
"rna_median_EEF2",0
"rna_median_EFNA5",0
"rna_median_EGFR",0
"rna_median_EGLN1",0
"rna_median_EGLN3",0
"rna_median_EGR1",0
"rna_median_EGR2",0
"rna_median_EGR3",0
"rna_median_EHD3",0
"rna_median_EHF",0
"rna_median_EI24",0
"rna_median_EIF1AX",0
"rna_median_EIF3E",0
"rna_median_EIF3F",0
"rna_median_EIF3I",0
"rna_median_EIF4A2",0
"rna_median_EIF4E",0
"rna_median_EIF5A2",0
"rna_median_ELAVL1",0
"rna_median_ELF3",0
"rna_median_ELF4",0
"rna_median_ELK1",0
"rna_median_ELK3",0
"rna_median_ELK4",0
"rna_median_ELL",0
"rna_median_ELN",0
"rna_median_EML4",0
"rna_median_EMP1",0
"rna_median_EMP2",0
"rna_median_EN2",0
"rna_median_ENTPD5",0
"rna_median_EP300",0
"rna_median_EPAS1",0
"rna_median_EPB41",0
"rna_median_EPB41L3",0
"rna_median_EPCAM",0
"rna_median_EPHA1",0
"rna_median_EPHA2",0
"rna_median_EPHA3",0
"rna_median_EPHA7",0
"rna_median_EPHB2",0
"rna_median_EPHB3",0
"rna_median_EPHB4",0
"rna_median_EPHB6",0
"rna_median_EPS15",0
"rna_median_EPS8",0
"rna_median_ERAS",0
"rna_median_ERBB2",0
"rna_median_ERBB3",0
"rna_median_ERBB4",0
"rna_median_ERC1",0
"rna_median_ERCC2",0
"rna_median_ERCC3",0
"rna_median_ERCC4",0
"rna_median_ERCC5",0
"rna_median_ERF",0
"rna_median_ERG",0
"rna_median_ERGIC1",0
"rna_median_ERRFI1",0
"rna_median_ESPL1",0
"rna_median_ESR1",0
"rna_median_ESR2",0
"rna_median_ESRP1",0
"rna_median_ESRRB",0
"rna_median_ETNK1",0
"rna_median_ETS1",0
"rna_median_ETS2",0
"rna_median_ETV1",0
"rna_median_ETV3",0
"rna_median_ETV4",0
"rna_median_ETV5",0
"rna_median_ETV6",0
"rna_median_EVI2A",0
"rna_median_EVI5",0
"rna_median_EWSR1",0
"rna_median_EXT1",0
"rna_median_EXT2",0
"rna_median_EXTL1",0
"rna_median_EXTL2",0
"rna_median_EXTL3",0
"rna_median_EYA4",0
"rna_median_EZH1",0
"rna_median_EZH2",0
"rna_median_EZR",0
"rna_median_FABP3",0
"rna_median_FADD",0
"rna_median_FAM131B",0
"rna_median_FAM135B",0
"rna_median_FAM172A",0
"rna_median_FAM188A",0
"rna_median_FAM189B",0
"rna_median_FAM46D",0
"rna_median_FAM47C",0
"rna_median_FAM72A",0
"rna_median_FAM83D",0
"rna_median_FANCA",0
"rna_median_FANCC",0
"rna_median_FANCD2",0
"rna_median_FANCE",0
"rna_median_FANCF",0
"rna_median_FANCG",0
"rna_median_FAS",0
"rna_median_FASN",0
"rna_median_FAT1",0
"rna_median_FAT3",0
"rna_median_FAT4",0
"rna_median_FBLN1",0
"rna_median_FBLN2",0
"rna_median_FBP1",0
"rna_median_FBXL13",0
"rna_median_FBXO11",0
"rna_median_FBXO25",0
"rna_median_FBXO31",0
"rna_median_FBXO32",0
"rna_median_FBXW7",0
"rna_median_FCGR2B",0
"rna_median_FCRL4",0
"rna_median_FDPS",0
"rna_median_FEN1",0
"rna_median_FER1L4",0
"rna_median_FES",0
"rna_median_FEV",0
"rna_median_FEZF1",0
"rna_median_FGF10",0
"rna_median_FGF3",0
"rna_median_FGF4",0
"rna_median_FGF5",0
"rna_median_FGF6",0
"rna_median_FGF8",0
"rna_median_FGFR1",0
"rna_median_FGFR1OP",0
"rna_median_FGFR2",0
"rna_median_FGFR3",0
"rna_median_FGFR4",0
"rna_median_FGR",0
"rna_median_FH",0
"rna_median_FHIT",0
"rna_median_FHL1",0
"rna_median_FHL2",0
"rna_median_FIP1L1",0
"rna_median_FKBP9",0
"rna_median_FLCN",0
"rna_median_FLI1",0
"rna_median_FLNA",0
"rna_median_FLT3",0
"rna_median_FLT4",0
"rna_median_FNBP1",0
"rna_median_FNDC3B",0
"rna_median_FOS",0
"rna_median_FOSL1",0
"rna_median_FOXA1",0
"rna_median_FOXA2",0
"rna_median_FOXC1",0
"rna_median_FOXD3",0
"rna_median_FOXG1",0
"rna_median_FOXL2",0
"rna_median_FOXM1",0
"rna_median_FOXO1",0
"rna_median_FOXO3",0
"rna_median_FOXO4",0
"rna_median_FOXP1",0
"rna_median_FOXP3",0
"rna_median_FOXQ1",0
"rna_median_FOXR1",0
"rna_median_FRAT1",0
"rna_median_FRK",0
"rna_median_FRS3",0
"rna_median_FSTL3",0
"rna_median_FUBP1",0
"rna_median_FUS",0
"rna_median_FXN",0
"rna_median_FYN",0
"rna_median_FZD2",0
"rna_median_FZR1",0
"rna_median_G0S2",0
"rna_median_GAB2",0
"rna_median_GABARAP",0
"rna_median_GABRA6",0
"rna_median_GADD45A",0
"rna_median_GADD45B",0
"rna_median_GADD45G",0
"rna_median_GADD45GIP1",0
"rna_median_GALNT10",0
"rna_median_GALR1",0
"rna_median_GALR2",0
"rna_median_GANAB",0
"rna_median_GAS1",0
"rna_median_GAS5",0
"rna_median_GAS7",0
"rna_median_GATA1",0
"rna_median_GATA2",0
"rna_median_GATA3",0
"rna_median_GATA4",0
"rna_median_GATA5",0
"rna_median_GATA6",0
"rna_median_GBP1",0
"rna_median_GFI1",0
"rna_median_GFI1B",0
"rna_median_GGNBP2",0
"rna_median_GJA1",0
"rna_median_GJB2",0
"rna_median_GKN1",0
"rna_median_GKN2",0
"rna_median_GLI1",0
"rna_median_GLI2",0
"rna_median_GLI3",0
"rna_median_GLIPR1",0
"rna_median_GLO1",0
"rna_median_GLS2",0
"rna_median_GLTSCR1",0
"rna_median_GLTSCR2",0
"rna_median_GMNN",0
"rna_median_GMPS",0
"rna_median_GNA11",0
"rna_median_GNA12",0
"rna_median_GNA13",0
"rna_median_GNAI2",0
"rna_median_GNAQ",0
"rna_median_GNAS",0
"rna_median_GNAT1",0
"rna_median_GNB2L1",0
"rna_median_GNMT",0
"rna_median_GOLGA5",0
"rna_median_GOLPH3",0
"rna_median_GOPC",0
"rna_median_GORAB",0
"rna_median_GPC3",0
"rna_median_GPC5",0
"rna_median_GPHN",0
"rna_median_GPM6A",0
"rna_median_GPM6B",0
"rna_median_GPR132",0
"rna_median_GPRC5A",0
"rna_median_GPS2",0
"rna_median_GPX3",0
"rna_median_GREM1",0
"rna_median_GRIN2A",0
"rna_median_GRIN2D",0
"rna_median_GRM1",0
"rna_median_GRM3",0
"rna_median_GSK3A",0
"rna_median_GSK3B",0
"rna_median_GSN",0
"rna_median_GSTP1",0
"rna_median_GSTT1",0
"rna_median_GTF2I",0
"rna_median_GTPBP4",0
"rna_median_GUCY2C",0
"rna_median_H19",0
"rna_median_H2AFX",0
"rna_median_H3F3A",0
"rna_median_H3F3B",0
"rna_median_H3F3C",0
"rna_median_HACE1",0
"rna_median_HAS1",0
"rna_median_HAX1",0
"rna_median_HBP1",0
"rna_median_HDAC1",0
"rna_median_HDAC3",0
"rna_median_HECA",0
"rna_median_HEPACAM",0
"rna_median_HERPUD1",0
"rna_median_HES6",0
"rna_median_HEY1",0
"rna_median_HGF",0
"rna_median_HHEX",0
"rna_median_HIC1",0
"rna_median_HIF1A",0
"rna_median_HINT1",0
"rna_median_HIP1",0
"rna_median_HIPK2",0
"rna_median_HIRA",0
"rna_median_HIST1H1C",0
"rna_median_HIST1H1E",0
"rna_median_HIST1H3B",0
"rna_median_HIST1H4I",0
"rna_median_HIVEP1",0
"rna_median_HIVEP3",0
"rna_median_HLA.A",0
"rna_median_HLA.B",0
"rna_median_HLF",0
"rna_median_HLTF",0
"rna_median_HMGA1",0
"rna_median_HMGA2",0
"rna_median_HMGN5",0
"rna_median_HNF1A",0
"rna_median_HNF4A",0
"rna_median_HNRNPA1",0
"rna_median_HNRNPA2B1",0
"rna_median_HOMER2",0
"rna_median_HOOK3",0
"rna_median_HOPX",0
"rna_median_HOTAIR",0
"rna_median_HOXA1",0
"rna_median_HOXA11",0
"rna_median_HOXA13",0
"rna_median_HOXA9",0
"rna_median_HOXB13",0
"rna_median_HOXC11",0
"rna_median_HOXC13",0
"rna_median_HOXD11",0
"rna_median_HOXD13",0
"rna_median_HOXD9",0
"rna_median_HPGD",0
"rna_median_HRAS",0
"rna_median_HRASLS2",0
"rna_median_HRG",0
"rna_median_HSP90AA1",0
"rna_median_HSP90AB1",0
"rna_median_HSP90B1",0
"rna_median_HSPA1A",0
"rna_median_HSPA4",0
"rna_median_HSPA5",0
"rna_median_HSPB1",0
"rna_median_HSPB7",0
"rna_median_HSPD1",0
"rna_median_HTATIP2",0
"rna_median_HTRA1",0
"rna_median_HTRA2",0
"rna_median_HTRA3",0
"rna_median_HULC",0
"rna_median_HUWE1",0
"rna_median_ID1",0
"rna_median_ID2",0
"rna_median_ID3",0
"rna_median_ID4",0
"rna_median_IDH1",0
"rna_median_IDH2",0
"rna_median_IER3",0
"rna_median_IFI16",0
"rna_median_IFNG",0
"rna_median_IFT88",0
"rna_median_IGF1",0
"rna_median_IGF1R",0
"rna_median_IGF2",0
"rna_median_IGF2BP1",0
"rna_median_IGF2BP2",0
"rna_median_IGF2R",0
"rna_median_IGFALS",0
"rna_median_IGFBP3",0
"rna_median_IGFBP4",0
"rna_median_IGFBP5",0
"rna_median_IGFBP7",0
"rna_median_IGFBPL1",0
"rna_median_IKBKB",0
"rna_median_IKBKE",0
"rna_median_IKZF1",0
"rna_median_IKZF2",0
"rna_median_IKZF3",0
"rna_median_IL17A",0
"rna_median_IL17RD",0
"rna_median_IL2",0
"rna_median_IL21R",0
"rna_median_IL24",0
"rna_median_IL6ST",0
"rna_median_IL7R",0
"rna_median_ILK",0
"rna_median_ING1",0
"rna_median_ING2",0
"rna_median_ING3",0
"rna_median_ING4",0
"rna_median_ING5",0
"rna_median_INPP4B",0
"rna_median_INPPL1",0
"rna_median_INTS1",0
"rna_median_INTS2",0
"rna_median_INTS3",0
"rna_median_INTS4",0
"rna_median_INTS5",0
"rna_median_INTS6",0
"rna_median_INTS7",0
"rna_median_INTS8",0
"rna_median_IQGAP2",0
"rna_median_IRF1",0
"rna_median_IRF2",0
"rna_median_IRF3",0
"rna_median_IRF4",0
"rna_median_IRF5",0
"rna_median_IRF6",0
"rna_median_IRF8",0
"rna_median_IRS2",0
"rna_median_IRS4",0
"rna_median_IRX1",0
"rna_median_ISG15",0
"rna_median_ISX",0
"rna_median_ITGA3",0
"rna_median_ITGA5",0
"rna_median_ITGA7",0
"rna_median_ITGAV",0
"rna_median_ITGB1",0
"rna_median_ITGB3",0
"rna_median_ITK",0
"rna_median_JAK1",0
"rna_median_JAK2",0
"rna_median_JAK3",0
"rna_median_JAZF1",0
"rna_median_JDP2",0
"rna_median_JUN",0
"rna_median_JUNB",0
"rna_median_JUND",0
"rna_median_JUP",0
"rna_median_KANK1",0
"rna_median_KAT5",0
"rna_median_KCNJ5",0
"rna_median_KCNRG",0
"rna_median_KDM2A",0
"rna_median_KDM3A",0
"rna_median_KDM3B",0
"rna_median_KDM4C",0
"rna_median_KDM5A",0
"rna_median_KDM5B",0
"rna_median_KDM5C",0
"rna_median_KDM6A",0
"rna_median_KDR",0
"rna_median_KDSR",0
"rna_median_KEAP1",0
"rna_median_KEL",0
"rna_median_KIAA0101",0
"rna_median_KIAA1524",0
"rna_median_KIAA1549",0
"rna_median_KIF14",0
"rna_median_KIF1A",0
"rna_median_KIF1B",0
"rna_median_KIF5B",0
"rna_median_KIF7",0
"rna_median_KISS1",0
"rna_median_KIT",0
"rna_median_KL",0
"rna_median_KLF10",0
"rna_median_KLF2",0
"rna_median_KLF4",0
"rna_median_KLF5",0
"rna_median_KLF6",0
"rna_median_KLF8",0
"rna_median_KLK10",0
"rna_median_KLK2",0
"rna_median_KLK6",0
"rna_median_KRAS",0
"rna_median_KRIT1",0
"rna_median_KRT19",0
"rna_median_KRT222",0
"rna_median_KSR2",0
"rna_median_KTN1",0
"rna_median_L3MBTL4",0
"rna_median_LAPTM4B",0
"rna_median_LARP4B",0
"rna_median_LASP1",0
"rna_median_LAT2",0
"rna_median_LATS1",0
"rna_median_LATS2",0
"rna_median_LCK",0
"rna_median_LCN2",0
"rna_median_LCP1",0
"rna_median_LDHB",0
"rna_median_LEF1",0
"rna_median_LEFTY1",0
"rna_median_LEFTY2",0
"rna_median_LEMD2",0
"rna_median_LEPROTL1",0
"rna_median_LETMD1",0
"rna_median_LGALS7",0
"rna_median_LHX1",0
"rna_median_LHX4",0
"rna_median_LHX6",0
"rna_median_LIFR",0
"rna_median_LIMA1",0
"rna_median_LIMD1",0
"rna_median_LIN28A",0
"rna_median_LIN28B",0
"rna_median_LIN9",0
"rna_median_LITAF",0
"rna_median_LLGL1",0
"rna_median_LMNA",0
"rna_median_LMO1",0
"rna_median_LMO2",0
"rna_median_LMO3",0
"rna_median_LMO4",0
"rna_median_LMX1B",0
"rna_median_LOX",0
"rna_median_LPP",0
"rna_median_LRIG1",0
"rna_median_LRIG3",0
"rna_median_LRMP",0
"rna_median_LRP1B",0
"rna_median_LRRC3B",0
"rna_median_LRRC4",0
"rna_median_LSAMP",0
"rna_median_LSM1",0
"rna_median_LSM14A",0
"rna_median_LTF",0
"rna_median_LXN",0
"rna_median_LYL1",0
"rna_median_LZTR1",0
"rna_median_LZTS1",0
"rna_median_MACC1",0
"rna_median_MACF1",0
"rna_median_MACROD1",0
"rna_median_MAD1L1",0
"rna_median_MADD",0
"rna_median_MAF",0
"rna_median_MAFA",0
"rna_median_MAFB",0
"rna_median_MAGEA11",0
"rna_median_MAL",0
"rna_median_MALAT1",0
"rna_median_MALT1",0
"rna_median_MAML2",0
"rna_median_MAP2K1",0
"rna_median_MAP2K2",0
"rna_median_MAP2K4",0
"rna_median_MAP3K1",0
"rna_median_MAP3K13",0
